FIPS,County,State,Longitude,Latitude,Population,cases
13275,Thomas,Georgia,-83.9193,30.8637,45696,0
26059,Hillsdale,Michigan,-84.5929,41.8878,45658,0
1021,Chilton,Alabama,-86.7188,32.8479,45500,0
55033,Dunn,Wisconsin,-91.8964,44.9466,45349,0
55095,Polk,Wisconsin,-92.4414,45.4614,45327,0
22117,Washington,Louisiana,-90.0405,30.8533,45238,0
21107,Hopkins,Kentucky,-87.5408,37.3088,45143,0
27061,Itasca,Minnesota,-93.6319,47.5095,45141,0
18145,Shelby,Indiana,-85.7917,39.5237,45104,0
18093,Lawrence,Indiana,-86.4835,38.8412,45077,0
29161,Phelps,Missouri,-91.7923,37.8772,44948,0
26023,Branch,Michigan,-85.059,41.9161,44914,0
47099,Lawrence,Tennessee,-87.3956,35.2173,44901,0
37169,Stokes,North Carolina,-80.2397,36.4019,44889,0
53037,Kittitas,Washington,-120.6798,47.1244,44736,0
37111,McDowell,North Carolina,-82.0493,35.6817,44679,0
21009,Barren,Kentucky,-85.9337,36.9656,44670,0
51171,Shenandoah,Virginia,-78.5708,38.8583,44630,0
37013,Beaufort,North Carolina,-76.8598,35.494,44597,0
17117,Macoupin,Illinois,-89.9245,39.261,44566,0
36025,Delaware,New York,-74.9665,42.1981,44551,0
29027,Callaway,Missouri,-91.926,38.8355,44541,0
21101,Henderson,Kentucky,-87.5729,37.7958,44493,0
12121,Suwannee,Florida,-82.9915,30.1956,44484,0
39075,Holmes,Ohio,-81.9293,40.5612,44312,0
12075,Levy,Florida,-82.7434,29.3184,44276,0
55031,Douglas,Wisconsin,-91.9162,46.4329,44197,0
22087,St. Bernard,Louisiana,-89.5549,29.8691,44172,0
39097,Madison,Ohio,-83.4005,39.8942,44126,0
42065,Jefferson,Pennsylvania,-78.9994,41.1282,44099,0
17177,Stephenson,Illinois,-89.6623,42.3518,44042,0
42061,Huntingdon,Pennsylvania,-77.9812,40.4169,43844,0
6093,Siskiyou,California,-122.5404,41.5927,43834,0
40087,McClain,Oklahoma,-97.4443,35.0093,43779,0
27067,Kandiyohi,Minnesota,-95.0047,45.1524,43757,0
53017,Douglas,Washington,-119.6918,47.7361,43733,0
40071,Kay,Oklahoma,-97.1439,36.818,43731,0
39015,Brown,Ohio,-83.8673,38.9338,43710,0
28151,Washington,Mississippi,-90.9474,33.2839,43674,0
13009,Baldwin,Georgia,-83.2495,33.0693,43669,0
12039,Gadsden,Florida,-84.6136,30.5795,43642,0
40121,Pittsburg,Oklahoma,-95.7484,34.9239,43629,0
28149,Warren,Mississippi,-90.852,32.3573,43623,0
18033,DeKalb,Indiana,-84.9991,41.3976,43584,0
45025,Chesterfield,South Carolina,-80.1587,34.6398,43575,0
18037,Dubois,Indiana,-86.8798,38.3643,43563,0
33019,Sullivan,New Hampshire,-72.2221,43.3613,43529,0
37059,Davie,North Carolina,-80.5445,35.9291,43526,0
47051,Franklin,Tennessee,-86.0922,35.1551,43478,0
29029,Camden,Missouri,-92.766,38.027,43416,0
39071,Highland,Ohio,-83.601,39.1847,43403,0
13233,Polk,Georgia,-85.1881,34.0018,43365,0
40137,Stephens,Oklahoma,-97.8515,34.4856,43314,0
8085,Montrose,Colorado,-108.2692,38.4022,43272,0
48143,Erath,Texas,-98.2179,32.2363,43244,0
29159,Pettis,Missouri,-93.2851,38.7283,43205,0
13069,Coffee,Georgia,-82.8492,31.5493,43161,0
37099,Jackson,North Carolina,-83.1408,35.2876,43089,0
51149,Prince George,Virginia,-77.2242,37.1865,42873,0
37153,Richmond,North Carolina,-79.7479,35.0059,42818,0
53047,Okanogan,Washington,-119.7408,48.5488,42811,0
13219,Oconee,Georgia,-83.4371,33.835,42788,0
19033,Cerro Gordo,Iowa,-93.2608,43.0816,42785,0
19139,Muscatine,Iowa,-91.1127,41.4839,42735,0
49043,Summit,Utah,-110.9557,40.8683,42709,0
51683,Manassas,Virginia,-77.4838,38.7479,42674,0
47047,Fayette,Tennessee,-89.4141,35.197,42653,0
5091,Miller,Arkansas,-93.8921,33.3124,42588,0
42119,Union,Pennsylvania,-77.0622,40.963,42570,0
16069,Nez Perce,Idaho,-116.7502,46.3268,42477,0
48097,Cooke,Texas,-97.2126,33.6393,42473,0
39107,Mercer,Ohio,-84.6294,40.54,42438,0
39051,Fulton,Ohio,-84.1301,41.6018,42434,0
37181,Vance,North Carolina,-78.4079,36.3649,42361,0
55093,Pierce,Wisconsin,-92.4224,44.7194,42351,0
51590,Danville,Virginia,-79.4088,36.5831,42239,0
29023,Butler,Missouri,-90.4066,36.7164,42166,0
